Nit sqrt fn sigma_half Rn exp sigma sqrt_restart
45 0.00512089524719972 74.0278847138575 0.00105616912480011 0.000599220190829808 0.180763575627256 0.00251144828820804 0.0475344812639413
46 0.00498005920256661 73.1936491237974 0.000848561450904395 0.000476625982542167 0.180763573900748 0.00203420971463686 0.0469529193541756
47 0.00486081025944163 72.3862466002586 0.000682061556628089 0.000379375416502903 0.180763572880984 0.00164818537721922 0.0464038832179603
48 0.00475891457575583 71.6042714991352 0.00054844976160684 0.00030216933228866 0.180763572341397 0.00133581580198294 0.0458836504304436
49 0.00467053472289169 70.846419123528 0.000441177944070503 0.000240832746539965 0.180763572033735 0.00108297491671117 0.0453874733768815
50 0.00459317598856357 70.1114765909037 0.000355019356678365 0.000192067603554058 0.180763571897205 0.00087823836458556 0.0449134739151478
51 0.00452436778108067 69.3983146902035 0.000285785365715885 0.000153268385816752 0.180763571897203 0.000712404846724635 0.0444572327275989
52 0.00446218761001038 68.7058806045368 0.000230127124863699 0.00012237690568595 0.180763571897202 0.000578034581694364 0.0440171375737712
53 0.00440542501559094 68.0331913927827 0.000185366628928207 9.7765105218528e-05 0.180763571897202 0.000469123145129036 0.0435918398606554
54 0.00435314169239609 67.3793281383076 0.000149355064497314 7.81434012595561e-05 0.1807635718972 0.000380829421906093 0.0431796161708236
55 0.00430459519093596 66.7434306855864 0.000120372476068109 6.2490315282826e-05 0.1807635718972 0.000309223173505124 0.0427797893901243
56 0.0042592652239799 66.1246928961708 9.70397476085516e-05 4.99958179869253e-05 0.1807635718972 0.000251132375413743 0.042391766337381
57 0.00421653856880422 65.52235836451 7.82502096758897e-05 4.00169713770104e-05 0.1807635718972 0.000203993759731791 0.0420152336048387
58 0.00417611688464259 64.9357165418575 6.31147768008766e-05 3.20430428311091e-05 0.1807635718972 0.000165732883221192 0.0416492089804823
59 0.00413781367416854 64.3640992231083 5.09191172777257e-05 2.56680413799337e-05 0.1807635718972 0.000134671287944865 0.0412929448164272
60 0.00410117090163631 63.8068773570768 4.10892489126624e-05 2.05690069887687e-05 0.1807635718972 0.00010944862062523 0.0409459260596785
61 0.00406589148877323 63.2634581456047 3.31640906385822e-05 1.64887896909605e-05 0.1807635718972 8.89630357208127e-05 0.0406076936837376
62 0.00403179492456252 62.7332824010901 2.67733095604683e-05 1.32224552888971e-05 0.1807635718972 7.2321799335473e-05 0.0402778885828239
63 0.00399875310829856 62.2158221356664 2.16182920151908e-05 1.06066279901285e-05 0.1807635718972 5.88010506081815e-05 0.0399561262742245
64 0.00396667292429687 61.7105783584076 1.74591571950877e-05 8.51094295795107e-06 0.1807635718972 4.78138211166268e-05 0.0396420278623744
65 0.00393544980432559 61.2170790596732 1.41026925746246e-05 6.83151150004946e-06 0.1807635718972 3.88839874081448e-05 0.0393352786126964
66 0.00390505399151264 60.7348773640919 1.1393513231539e-05 5.48522169729893e-06 0.1807635718972 3.16252724377186e-05 0.0390355891407421
67 0.00387543886602604 60.263549835758 9.20627243949923e-06 4.40544042401569e-06 0.1807635718972 2.57241474228564e-05 0.0387426869290501
68 0.00384657880033679 59.8026949210352 7.44007355368836e-06 3.53912804751388e-06 0.1807635718972 2.09260896082419e-05 0.0384563287958684
69 0.00381840918656584 59.3519315159573 6.01361235297304e-06 2.84387360105498e-06 0.1807635718972 1.70244487942561e-05 0.038176289872538
70 0.00379087946163503 58.9108976466111 4.86134019839213e-06 2.28573948302113e-06 0.1807635718972 1.38514063192652e-05 0.0379023622797598
71 0.00376396650814259 58.4792492521215 3.93039800128392e-06 1.83756121030498e-06 0.1807635718972 1.12706768913284e-05 0.0376342970862358
72 0.00373763909450808 58.0566590609417 3.17815112138575e-06 1.47758402668785e-06 0.1807635718972 9.17153516466485e-06 0.0373718552067834
73 0.00371186908129895 57.642815552112 2.57020623228854e-06 1.18838007612254e-06 0.1807635718972 7.46389254802082e-06 0.0371148408648043
74 0.00368663383315226 57.237421993995 2.07881677249944e-06 9.55981088957003e-07 0.1807635718972 6.07460231760726e-06 0.0368630680936057
75 0.00366191251962178 56.8401955537529 1.68158501079319e-06 7.69185954929696e-07 0.1807635718972 4.94422267305339e-06 0.036616359932049
